date_id,date,year,month,day,qrt,month_name
82,"2023-03-23 00:00:00,000",2023,3,23,1,"March"
83,"2023-03-24 00:00:00,000",2023,3,24,1,"March"
84,"2023-03-25 00:00:00,000",2023,3,25,1,"March"
85,"2023-03-26 00:00:00,000",2023,3,26,1,"March"
86,"2023-03-27 00:00:00,000",2023,3,27,1,"March"
87,"2023-03-28 00:00:00,000",2023,3,28,1,"March"
88,"2023-03-29 00:00:00,000",2023,3,29,1,"March"
89,"2023-03-30 00:00:00,000",2023,3,30,1,"March"
90,"2023-03-31 00:00:00,000",2023,3,31,1,"March"
91,"2023-04-01 00:00:00,000",2023,4,1,2,"April"
92,"2023-04-02 00:00:00,000",2023,4,2,2,"April"
93,"2023-04-03 00:00:00,000",2023,4,3,2,"April"
94,"2023-04-04 00:00:00,000",2023,4,4,2,"April"
95,"2023-04-05 00:00:00,000",2023,4,5,2,"April"
96,"2023-04-06 00:00:00,000",2023,4,6,2,"April"
97,"2023-04-07 00:00:00,000",2023,4,7,2,"April"
98,"2023-04-08 00:00:00,000",2023,4,8,2,"April"
99,"2023-04-09 00:00:00,000",2023,4,9,2,"April"
100,"2023-04-10 00:00:00,000",2023,4,10,2,"April"
101,"2023-04-11 00:00:00,000",2023,4,11,2,"April"
102,"2023-04-12 00:00:00,000",2023,4,12,2,"April"
103,"2023-04-13 00:00:00,000",2023,4,13,2,"April"
104,"2023-04-14 00:00:00,000",2023,4,14,2,"April"
105,"2023-04-15 00:00:00,000",2023,4,15,2,"April"
106,"2023-04-16 00:00:00,000",2023,4,16,2,"April"
107,"2023-04-17 00:00:00,000",2023,4,17,2,"April"
108,"2023-04-18 00:00:00,000",2023,4,18,2,"April"
109,"2023-04-19 00:00:00,000",2023,4,19,2,"April"
110,"2023-04-20 00:00:00,000",2023,4,20,2,"April"
111,"2023-04-21 00:00:00,000",2023,4,21,2,"April"
112,"2023-04-22 00:00:00,000",2023,4,22,2,"April"
113,"2023-04-23 00:00:00,000",2023,4,23,2,"April"
114,"2023-04-24 00:00:00,000",2023,4,24,2,"April"
115,"2023-04-25 00:00:00,000",2023,4,25,2,"April"
116,"2023-04-26 00:00:00,000",2023,4,26,2,"April"
117,"2023-04-27 00:00:00,000",2023,4,27,2,"April"
118,"2023-04-28 00:00:00,000",2023,4,28,2,"April"
119,"2023-04-29 00:00:00,000",2023,4,29,2,"April"
120,"2023-04-30 00:00:00,000",2023,4,30,2,"April"
121,"2023-05-01 00:00:00,000",2023,5,1,2,"May"
122,"2023-05-02 00:00:00,000",2023,5,2,2,"May"
123,"2023-05-03 00:00:00,000",2023,5,3,2,"May"
124,"2023-05-04 00:00:00,000",2023,5,4,2,"May"
125,"2023-05-05 00:00:00,000",2023,5,5,2,"May"
126,"2023-05-06 00:00:00,000",2023,5,6,2,"May"
127,"2023-05-07 00:00:00,000",2023,5,7,2,"May"
128,"2023-05-08 00:00:00,000",2023,5,8,2,"May"
129,"2023-05-09 00:00:00,000",2023,5,9,2,"May"
130,"2023-05-10 00:00:00,000",2023,5,10,2,"May"
131,"2023-05-11 00:00:00,000",2023,5,11,2,"May"
132,"2023-05-12 00:00:00,000",2023,5,12,2,"May"
133,"2023-05-13 00:00:00,000",2023,5,13,2,"May"
134,"2023-05-14 00:00:00,000",2023,5,14,2,"May"
135,"2023-05-15 00:00:00,000",2023,5,15,2,"May"
136,"2023-05-16 00:00:00,000",2023,5,16,2,"May"
137,"2023-05-17 00:00:00,000",2023,5,17,2,"May"
138,"2023-05-18 00:00:00,000",2023,5,18,2,"May"
139,"2023-05-19 00:00:00,000",2023,5,19,2,"May"
140,"2023-05-20 00:00:00,000",2023,5,20,2,"May"
141,"2023-05-21 00:00:00,000",2023,5,21,2,"May"
142,"2023-05-22 00:00:00,000",2023,5,22,2,"May"
143,"2023-05-23 00:00:00,000",2023,5,23,2,"May"
144,"2023-05-24 00:00:00,000",2023,5,24,2,"May"
145,"2023-05-25 00:00:00,000",2023,5,25,2,"May"
146,"2023-05-26 00:00:00,000",2023,5,26,2,"May"
147,"2023-05-27 00:00:00,000",2023,5,27,2,"May"
148,"2023-05-28 00:00:00,000",2023,5,28,2,"May"
149,"2023-05-29 00:00:00,000",2023,5,29,2,"May"
150,"2023-05-30 00:00:00,000",2023,5,30,2,"May"
151,"2023-05-31 00:00:00,000",2023,5,31,2,"May"
152,"2023-06-01 00:00:00,000",2023,6,1,2,"June"
153,"2023-06-02 00:00:00,000",2023,6,2,2,"June"
154,"2023-06-03 00:00:00,000",2023,6,3,2,"June"
155,"2023-06-04 00:00:00,000",2023,6,4,2,"June"
156,"2023-06-05 00:00:00,000",2023,6,5,2,"June"
157,"2023-06-06 00:00:00,000",2023,6,6,2,"June"
158,"2023-06-07 00:00:00,000",2023,6,7,2,"June"
159,"2023-06-08 00:00:00,000",2023,6,8,2,"June"
160,"2023-06-09 00:00:00,000",2023,6,9,2,"June"
161,"2023-06-10 00:00:00,000",2023,6,10,2,"June"
162,"2023-06-11 00:00:00,000",2023,6,11,2,"June"
163,"2023-06-12 00:00:00,000",2023,6,12,2,"June"
164,"2023-06-13 00:00:00,000",2023,6,13,2,"June"
165,"2023-06-14 00:00:00,000",2023,6,14,2,"June"
166,"2023-06-15 00:00:00,000",2023,6,15,2,"June"
167,"2023-06-16 00:00:00,000",2023,6,16,2,"June"
168,"2023-06-17 00:00:00,000",2023,6,17,2,"June"
169,"2023-06-18 00:00:00,000",2023,6,18,2,"June"
170,"2023-06-19 00:00:00,000",2023,6,19,2,"June"
171,"2023-06-20 00:00:00,000",2023,6,20,2,"June"
172,"2023-06-21 00:00:00,000",2023,6,21,2,"June"
173,"2023-06-22 00:00:00,000",2023,6,22,2,"June"
174,"2023-06-23 00:00:00,000",2023,6,23,2,"June"
175,"2023-06-24 00:00:00,000",2023,6,24,2,"June"
176,"2023-06-25 00:00:00,000",2023,6,25,2,"June"
177,"2023-06-26 00:00:00,000",2023,6,26,2,"June"
178,"2023-06-27 00:00:00,000",2023,6,27,2,"June"
179,"2023-06-28 00:00:00,000",2023,6,28,2,"June"
180,"2023-06-29 00:00:00,000",2023,6,29,2,"June"
181,"2023-06-30 00:00:00,000",2023,6,30,2,"June"
182,"2023-07-01 00:00:00,000",2023,7,1,3,"July"
183,"2023-07-02 00:00:00,000",2023,7,2,3,"July"
184,"2023-07-03 00:00:00,000",2023,7,3,3,"July"
185,"2023-07-04 00:00:00,000",2023,7,4,3,"July"
186,"2023-07-05 00:00:00,000",2023,7,5,3,"July"
187,"2023-07-06 00:00:00,000",2023,7,6,3,"July"
188,"2023-07-07 00:00:00,000",2023,7,7,3,"July"
189,"2023-07-08 00:00:00,000",2023,7,8,3,"July"
190,"2023-07-09 00:00:00,000",2023,7,9,3,"July"
191,"2023-07-10 00:00:00,000",2023,7,10,3,"July"
192,"2023-07-11 00:00:00,000",2023,7,11,3,"July"
193,"2023-07-12 00:00:00,000",2023,7,12,3,"July"
194,"2023-07-13 00:00:00,000",2023,7,13,3,"July"
195,"2023-07-14 00:00:00,000",2023,7,14,3,"July"
196,"2023-07-15 00:00:00,000",2023,7,15,3,"July"
197,"2023-07-16 00:00:00,000",2023,7,16,3,"July"
198,"2023-07-17 00:00:00,000",2023,7,17,3,"July"
199,"2023-07-18 00:00:00,000",2023,7,18,3,"July"
200,"2023-07-19 00:00:00,000",2023,7,19,3,"July"
201,"2023-07-20 00:00:00,000",2023,7,20,3,"July"
202,"2023-07-21 00:00:00,000",2023,7,21,3,"July"
203,"2023-07-22 00:00:00,000",2023,7,22,3,"July"
204,"2023-07-23 00:00:00,000",2023,7,23,3,"July"
205,"2023-07-24 00:00:00,000",2023,7,24,3,"July"
206,"2023-07-25 00:00:00,000",2023,7,25,3,"July"
207,"2023-07-26 00:00:00,000",2023,7,26,3,"July"
208,"2023-07-27 00:00:00,000",2023,7,27,3,"July"
209,"2023-07-28 00:00:00,000",2023,7,28,3,"July"
210,"2023-07-29 00:00:00,000",2023,7,29,3,"July"
211,"2023-07-30 00:00:00,000",2023,7,30,3,"July"
212,"2023-07-31 00:00:00,000",2023,7,31,3,"July"
213,"2023-08-01 00:00:00,000",2023,8,1,3,"August"
214,"2023-08-02 00:00:00,000",2023,8,2,3,"August"
215,"2023-08-03 00:00:00,000",2023,8,3,3,"August"
216,"2023-08-04 00:00:00,000",2023,8,4,3,"August"
217,"2023-08-05 00:00:00,000",2023,8,5,3,"August"
218,"2023-08-06 00:00:00,000",2023,8,6,3,"August"
219,"2023-08-07 00:00:00,000",2023,8,7,3,"August"
220,"2023-08-08 00:00:00,000",2023,8,8,3,"August"
221,"2023-08-09 00:00:00,000",2023,8,9,3,"August"
222,"2023-08-10 00:00:00,000",2023,8,10,3,"August"
223,"2023-08-11 00:00:00,000",2023,8,11,3,"August"
224,"2023-08-12 00:00:00,000",2023,8,12,3,"August"
225,"2023-08-13 00:00:00,000",2023,8,13,3,"August"
226,"2023-08-14 00:00:00,000",2023,8,14,3,"August"
227,"2023-08-15 00:00:00,000",2023,8,15,3,"August"
228,"2023-08-16 00:00:00,000",2023,8,16,3,"August"
229,"2023-08-17 00:00:00,000",2023,8,17,3,"August"
230,"2023-08-18 00:00:00,000",2023,8,18,3,"August"
231,"2023-08-19 00:00:00,000",2023,8,19,3,"August"
232,"2023-08-20 00:00:00,000",2023,8,20,3,"August"
233,"2023-08-21 00:00:00,000",2023,8,21,3,"August"
234,"2023-08-22 00:00:00,000",2023,8,22,3,"August"
235,"2023-08-23 00:00:00,000",2023,8,23,3,"August"
236,"2023-08-24 00:00:00,000",2023,8,24,3,"August"
237,"2023-08-25 00:00:00,000",2023,8,25,3,"August"
238,"2023-08-26 00:00:00,000",2023,8,26,3,"August"
239,"2023-08-27 00:00:00,000",2023,8,27,3,"August"
240,"2023-08-28 00:00:00,000",2023,8,28,3,"August"
241,"2023-08-29 00:00:00,000",2023,8,29,3,"August"
242,"2023-08-30 00:00:00,000",2023,8,30,3,"August"
243,"2023-08-31 00:00:00,000",2023,8,31,3,"August"
244,"2023-09-01 00:00:00,000",2023,9,1,3,"September"
245,"2023-09-02 00:00:00,000",2023,9,2,3,"September"
246,"2023-09-03 00:00:00,000",2023,9,3,3,"September"
247,"2023-09-04 00:00:00,000",2023,9,4,3,"September"
248,"2023-09-05 00:00:00,000",2023,9,5,3,"September"
249,"2023-09-06 00:00:00,000",2023,9,6,3,"September"
250,"2023-09-07 00:00:00,000",2023,9,7,3,"September"
251,"2023-09-08 00:00:00,000",2023,9,8,3,"September"
252,"2023-09-09 00:00:00,000",2023,9,9,3,"September"
253,"2023-09-10 00:00:00,000",2023,9,10,3,"September"
254,"2023-09-11 00:00:00,000",2023,9,11,3,"September"
255,"2023-09-12 00:00:00,000",2023,9,12,3,"September"
256,"2023-09-13 00:00:00,000",2023,9,13,3,"September"
257,"2023-09-14 00:00:00,000",2023,9,14,3,"September"
258,"2023-09-15 00:00:00,000",2023,9,15,3,"September"
259,"2023-09-16 00:00:00,000",2023,9,16,3,"September"
260,"2023-09-17 00:00:00,000",2023,9,17,3,"September"
261,"2023-09-18 00:00:00,000",2023,9,18,3,"September"
262,"2023-09-19 00:00:00,000",2023,9,19,3,"September"
263,"2023-09-20 00:00:00,000",2023,9,20,3,"September"
264,"2023-09-21 00:00:00,000",2023,9,21,3,"September"
265,"2023-09-22 00:00:00,000",2023,9,22,3,"September"
266,"2023-09-23 00:00:00,000",2023,9,23,3,"September"
267,"2023-09-24 00:00:00,000",2023,9,24,3,"September"
268,"2023-09-25 00:00:00,000",2023,9,25,3,"September"
269,"2023-09-26 00:00:00,000",2023,9,26,3,"September"
270,"2023-09-27 00:00:00,000",2023,9,27,3,"September"
271,"2023-09-28 00:00:00,000",2023,9,28,3,"September"
272,"2023-09-29 00:00:00,000",2023,9,29,3,"September"
273,"2023-09-30 00:00:00,000",2023,9,30,3,"September"
274,"2023-10-01 00:00:00,000",2023,10,1,4,"October"
275,"2023-10-02 00:00:00,000",2023,10,2,4,"October"
276,"2023-10-03 00:00:00,000",2023,10,3,4,"October"
277,"2023-10-04 00:00:00,000",2023,10,4,4,"October"
278,"2023-10-05 00:00:00,000",2023,10,5,4,"October"
279,"2023-10-06 00:00:00,000",2023,10,6,4,"October"
280,"2023-10-07 00:00:00,000",2023,10,7,4,"October"
281,"2023-10-08 00:00:00,000",2023,10,8,4,"October"
282,"2023-10-09 00:00:00,000",2023,10,9,4,"October"
283,"2023-10-10 00:00:00,000",2023,10,10,4,"October"
284,"2023-10-11 00:00:00,000",2023,10,11,4,"October"
285,"2023-10-12 00:00:00,000",2023,10,12,4,"October"
286,"2023-10-13 00:00:00,000",2023,10,13,4,"October"
287,"2023-10-14 00:00:00,000",2023,10,14,4,"October"
288,"2023-10-15 00:00:00,000",2023,10,15,4,"October"
289,"2023-10-16 00:00:00,000",2023,10,16,4,"October"
290,"2023-10-17 00:00:00,000",2023,10,17,4,"October"
291,"2023-10-18 00:00:00,000",2023,10,18,4,"October"
292,"2023-10-19 00:00:00,000",2023,10,19,4,"October"
293,"2023-10-20 00:00:00,000",2023,10,20,4,"October"
294,"2023-10-21 00:00:00,000",2023,10,21,4,"October"
295,"2023-10-22 00:00:00,000",2023,10,22,4,"October"
296,"2023-10-23 00:00:00,000",2023,10,23,4,"October"
297,"2023-10-24 00:00:00,000",2023,10,24,4,"October"
298,"2023-10-25 00:00:00,000",2023,10,25,4,"October"
299,"2023-10-26 00:00:00,000",2023,10,26,4,"October"
300,"2023-10-27 00:00:00,000",2023,10,27,4,"October"
301,"2023-10-28 00:00:00,000",2023,10,28,4,"October"
302,"2023-10-29 00:00:00,000",2023,10,29,4,"October"
303,"2023-10-30 00:00:00,000",2023,10,30,4,"October"
304,"2023-10-31 00:00:00,000",2023,10,31,4,"October"
305,"2023-11-01 00:00:00,000",2023,11,1,4,"November"
306,"2023-11-02 00:00:00,000",2023,11,2,4,"November"
307,"2023-11-03 00:00:00,000",2023,11,3,4,"November"
308,"2023-11-04 00:00:00,000",2023,11,4,4,"November"
309,"2023-11-05 00:00:00,000",2023,11,5,4,"November"
310,"2023-11-06 00:00:00,000",2023,11,6,4,"November"
311,"2023-11-07 00:00:00,000",2023,11,7,4,"November"
312,"2023-11-08 00:00:00,000",2023,11,8,4,"November"
313,"2023-11-09 00:00:00,000",2023,11,9,4,"November"
314,"2023-11-10 00:00:00,000",2023,11,10,4,"November"
315,"2023-11-11 00:00:00,000",2023,11,11,4,"November"
316,"2023-11-12 00:00:00,000",2023,11,12,4,"November"
317,"2023-11-13 00:00:00,000",2023,11,13,4,"November"
318,"2023-11-14 00:00:00,000",2023,11,14,4,"November"
319,"2023-11-15 00:00:00,000",2023,11,15,4,"November"
320,"2023-11-16 00:00:00,000",2023,11,16,4,"November"
321,"2023-11-17 00:00:00,000",2023,11,17,4,"November"
322,"2023-11-18 00:00:00,000",2023,11,18,4,"November"
323,"2023-11-19 00:00:00,000",2023,11,19,4,"November"
324,"2023-11-20 00:00:00,000",2023,11,20,4,"November"
325,"2023-11-21 00:00:00,000",2023,11,21,4,"November"
326,"2023-11-22 00:00:00,000",2023,11,22,4,"November"
327,"2023-11-23 00:00:00,000",2023,11,23,4,"November"
328,"2023-11-24 00:00:00,000",2023,11,24,4,"November"
329,"2023-11-25 00:00:00,000",2023,11,25,4,"November"
330,"2023-11-26 00:00:00,000",2023,11,26,4,"November"
331,"2023-11-27 00:00:00,000",2023,11,27,4,"November"
332,"2023-11-28 00:00:00,000",2023,11,28,4,"November"
333,"2023-11-29 00:00:00,000",2023,11,29,4,"November"
334,"2023-11-30 00:00:00,000",2023,11,30,4,"November"
335,"2023-12-01 00:00:00,000",2023,12,1,4,"December"
336,"2023-12-02 00:00:00,000",2023,12,2,4,"December"
337,"2023-12-03 00:00:00,000",2023,12,3,4,"December"
338,"2023-12-04 00:00:00,000",2023,12,4,4,"December"
339,"2023-12-05 00:00:00,000",2023,12,5,4,"December"
340,"2023-12-06 00:00:00,000",2023,12,6,4,"December"
341,"2023-12-07 00:00:00,000",2023,12,7,4,"December"
342,"2023-12-08 00:00:00,000",2023,12,8,4,"December"
343,"2023-12-09 00:00:00,000",2023,12,9,4,"December"
344,"2023-12-10 00:00:00,000",2023,12,10,4,"December"
345,"2023-12-11 00:00:00,000",2023,12,11,4,"December"
346,"2023-12-12 00:00:00,000",2023,12,12,4,"December"
347,"2023-12-13 00:00:00,000",2023,12,13,4,"December"
348,"2023-12-14 00:00:00,000",2023,12,14,4,"December"
349,"2023-12-15 00:00:00,000",2023,12,15,4,"December"
350,"2023-12-16 00:00:00,000",2023,12,16,4,"December"
351,"2023-12-17 00:00:00,000",2023,12,17,4,"December"
352,"2023-12-18 00:00:00,000",2023,12,18,4,"December"
353,"2023-12-19 00:00:00,000",2023,12,19,4,"December"
354,"2023-12-20 00:00:00,000",2023,12,20,4,"December"
355,"2023-12-21 00:00:00,000",2023,12,21,4,"December"
356,"2023-12-22 00:00:00,000",2023,12,22,4,"December"
357,"2023-12-23 00:00:00,000",2023,12,23,4,"December"
358,"2023-12-24 00:00:00,000",2023,12,24,4,"December"
359,"2023-12-25 00:00:00,000",2023,12,25,4,"December"
360,"2023-12-26 00:00:00,000",2023,12,26,4,"December"
361,"2023-12-27 00:00:00,000",2023,12,27,4,"December"
362,"2023-12-28 00:00:00,000",2023,12,28,4,"December"
363,"2023-12-29 00:00:00,000",2023,12,29,4,"December"
364,"2023-12-30 00:00:00,000",2023,12,30,4,"December"
365,"2023-12-31 00:00:00,000",2023,12,31,4,"December"
